X 1 30 	3880.518986076	3.000e+00	5
X 2 25 	3900.051636025	3.000e+00	4
X 4 9 	3919.676332501	1.000e-01	8
X 3 19 	3943.289948347	3.000e+00	7
X 4 10 	3979.906467644	1.000e-01	8
X 4 11 	4044.956168332	3.000e+00	7
X 2 26 	4056.669990718	3.000e+00	2
X 3 20 	4062.708685217	3.000e+00	7
X 1 31 	4067.214208456	3.000e+00	3
X 4 12 	4117.272623244	3.000e+00	7
X 3 21 	4187.891275239	3.000e+00	7
X 4 13 	4194.863367210	3.000e+00	6
X 2 27 	4217.514000000	3.000e+00	2
X 1 32 	4258.300000000	3.000e+00	2
X 4 14 	4278.199281823	3.000e+00	6
X 3 22 	4319.410140678	3.000e+00	7
X 4 15 	4367.724838664	3.000e+00	5
X 2 28 	4383.759000000	3.000e+00	1
X 3 23 	4456.070379976	3.000e+00	7
X 4 16 	4462.521086724	3.000e+00	5
X 5 0 	4487.229800000	1.000e-01	1
X 5 1 	4493.154900000	1.000e-01	1
X 5 2 	4505.001400000	1.000e-01	1
X 5 3 	4522.761700000	1.000e-01	1
X 5 4 	4546.424300000	1.000e-01	1
X 2 29 	4555.003000000	3.000e+00	1
X 4 17 	4563.444739540	3.000e+00	5
X 5 5 	4575.974300000	1.000e-01	1
X 3 24 	4597.473061186	3.000e+00	7
X 5 6 	4611.392600000	1.000e-01	1
X 5 7 	4652.656500000	1.000e-01	1
X 4 18 	4668.757674798	3.000e+00	5
X 5 8 	4699.739600000	1.000e-01	1
X 2 30 	4731.156000000	3.000e+00	1
X 3 25 	4744.199550215	3.000e+00	6
X 5 9 	4752.611600000	1.000e-01	1
X 4 19 	4779.798487985	3.000e+00	5
X 5 10 	4811.238400000	1.000e-01	1
X 3 26 	4895.818384348	3.000e+00	5
X 4 20 	4896.761962348	3.000e+00	4
X 2 31 	4912.127000000	3.000e+00	1
X 4 21 	5019.148710244	3.000e+00	4
X 3 27 	5052.291775108	3.000e+00	5
X 4 22 	5145.954980126	3.000e+00	3
X 3 28 	5214.061461449	3.000e+00	4
X 4 23 	5278.833907231	3.000e+00	2
X 3 29 	5380.727000000	3.000e+00	1
X 4 24 	5416.235445864	3.000e+00	2
X 3 30 	5552.078000000	3.000e+00	1
X 4 25 	5558.069000000	3.000e+00	1
X 4 26 	5705.737000000	3.000e+00	1
X 3 31 	5728.096000000	3.000e+00	1
X 4 27 	5858.270000000	3.000e+00	1
X 4 28 	6015.583000000	3.000e+00	1
X 7 0 	6085.108000000	1.000e-01	1
X 7 1 	6090.716900000	1.000e-01	1
X 7 2 	6101.931000000	1.000e-01	1
X 7 3 	6118.742900000	1.000e-01	1
X 7 4 	6141.141500000	1.000e-01	1
X 7 5 	6169.111800000	1.000e-01	1
X 4 29 	6177.591000000	3.000e+00	1
X 7 6 	6202.635300000	1.000e-01	1
X 7 7 	6241.689700000	1.000e-01	1
X 7 8 	6286.249000000	1.000e-01	1
X 7 9 	6336.283400000	1.000e-01	1
X 4 30 	6344.206000000	3.000e+00	1
X 7 10 	6391.759600000	1.000e-01	1
X 4 31 	6515.338000000	3.000e+00	1
X 13 0 	10233.635900000	1.000e-01	1
X 13 1 	10238.291700000	1.000e-01	1
X 13 2 	10247.599600000	1.000e-01	1
X 13 3 	10261.552100000	1.000e-01	1
X 13 4 	10280.138100000	1.000e-01	1
X 13 5 	10303.342700000	1.000e-01	1
X 13 6 	10331.147300000	1.000e-01	1
X 13 7 	10363.529600000	1.000e-01	1
X 13 8 	10400.463500000	1.000e-01	1
X 13 9 	10441.919300000	1.000e-01	1
X 13 10 	10487.863500000	1.000e-01	1
X 14 0 	10828.519300000	1.000e-01	1
X 14 1 	10833.004900000	1.000e-01	1
X 14 2 	10841.972300000	1.000e-01	1
X 14 3 	10855.413700000	1.000e-01	1
X 14 4 	10873.317600000	1.000e-01	1
X 14 5 	10895.668700000	1.000e-01	1
X 14 6 	10922.447700000	1.000e-01	1
X 14 7 	10953.631600000	1.000e-01	1
X 14 8 	10989.193500000	1.000e-01	1
X 14 9 	11029.102500000	1.000e-01	1
X 14 10 	11073.324100000	1.000e-01	1
X 15 0 	11393.160500000	1.000e-01	1
X 15 1 	11397.465100000	1.000e-01	1
X 15 2 	11406.070300000	1.000e-01	1
X 15 3 	11418.968100000	1.000e-01	1
X 15 4 	11436.146200000	1.000e-01	1
X 15 5 	11457.588600000	1.000e-01	1
X 15 6 	11483.275100000	1.000e-01	1
X 15 7 	11513.181400000	1.000e-01	1
X 15 8 	11547.279400000	1.000e-01	1
X 15 9 	11585.536600000	1.000e-01	1
X 15 10 	11627.916800000	1.000e-01	1
X 16 0 	11925.330100000	1.000e-01	1
X 16 1 	11929.440600000	1.000e-01	1
X 16 2 	11937.657300000	1.000e-01	1
X 16 3 	11949.971600000	1.000e-01	1
X 16 4 	11966.370600000	1.000e-01	1
X 16 5 	11986.836900000	1.000e-01	1
X 16 6 	12011.349000000	1.000e-01	1
X 16 7 	12039.881000000	1.000e-01	1
X 16 8 	12072.402700000	1.000e-01	1
X 16 9 	12108.879500000	1.000e-01	1
X 16 10 	12149.272700000	1.000e-01	1
X 18 0 	12878.273800000	1.000e-01	1
X 18 1 	12881.924000000	1.000e-01	1
X 18 2 	12889.219100000	1.000e-01	1
X 18 3 	12900.148800000	1.000e-01	1
X 18 4 	12914.697400000	1.000e-01	1
X 18 5 	12932.844200000	1.000e-01	1
X 18 6 	12954.563000000	1.000e-01	1
X 18 7 	12979.822700000	1.000e-01	1
X 18 8 	13008.586800000	1.000e-01	1
X 18 9 	13040.813700000	1.000e-01	1
X 18 10 	13076.456500000	1.000e-01	1
X 20 0 	13643.784200000	1.000e-01	1
X 20 1 	13646.797100000	1.000e-01	1
X 20 2 	13652.815200000	1.000e-01	1
X 20 3 	13661.823300000	1.000e-01	1
X 20 4 	13673.798500000	1.000e-01	1
X 20 5 	13688.710400000	1.000e-01	1
X 20 6 	13706.520700000	1.000e-01	1
X 20 7 	13727.183800000	1.000e-01	1
X 20 8 	13750.646300000	1.000e-01	1
X 20 9 	13776.847100000	1.000e-01	1
X 20 10 	13805.717700000	1.000e-01	1
X 21 0 	13933.413900000	1.000e-01	1
X 21 1 	13935.986900000	1.000e-01	1
X 21 2 	13941.123100000	1.000e-01	1
X 21 3 	13948.802900000	1.000e-01	1
